Lesson,Front,Back,Example,Translation
e05-l1,sich kämmen,to brush one's hair,Ich kämme mich jeden Morgen.,I brush my hair every morning.
e05-l1,Redewendung,phrase; expression,Das ist eine interessante Redewendung.,That is an interesting phrase.
e05-l1,Projekt,project,Das Projekt ist fast fertig.,The project is almost finished.
e05-l1,Aerobic machen,to work out; to do aerobics,Sie macht jeden Morgen Aerobic.,She does aerobics every morning.
e05-l1,sich (mit jemandem) verabreden,to make an appointment or date with someone,Ich verabrede mich mit meinem Freund.,I make a date with my boyfriend.
e05-l1,sich anziehen,to get dressed; to dress oneself,Ich ziehe mich schnell an.,I get dressed quickly.
e05-l1,sich abtrocknen,to dry oneself (off),Ich trockne mich nach dem Duschen ab.,I dry myself off after showering.
e05-l1,im Trend sein,to be in style; to be trendy,Dieser Stil ist im Trend.,This style is trendy.
e05-l1,etwas tragen,to carry something,Ich trage die Einkäufe nach Hause.,I carry the groceries home.
e05-l1,unter einer Bedingung,under one condition,Ich helfe dir unter einer Bedingung.,I will help you under one condition.
e05-l1,Matratze,mattress,Die Matratze ist sehr bequem.,The mattress is very comfortable.
e05-l1,sich duschen,to shower; to take a shower,Ich dusche jeden Morgen.,I shower every morning.
e05-l1,ehrenamtlich,voluntary,Er arbeitet ehrenamtlich im Altenheim.,He volunteers at the nursing home.
e05-l1,sich (über etwas/jemanden) aufregen,to get worked up about something/somebody,Er regt sich über den Lärm auf.,He gets worked up about the noise.
e05-l2,einige,several; a few,Ich habe einige Bücher gelesen.,I have read several books.
e05-l2,Verabredung,appointment; date,Ich habe eine Verabredung mit meinem Freund.,I have a date with my boyfriend.
e05-l2,zu tun haben,to have something to do; to be busy,Ich habe viel zu tun.,I have a lot to do.
e05-l2,zu jemandem/etwas passen,to fit someone/something; to suit someone/something; to go well with someone/something,Das Kleid passt gut zu dir.,The dress suits you well.
e05-l2,etwas gut gebrauchen können,to (be able to) put something to good use,Ich kann die Hilfe gut gebrauchen.,I can put the help to good use.
e05-l2,sich über etwas freuen,to be excited about something,Ich freue mich über das Geschenk.,I am excited about the gift.
e05-l2,surfen,to surf,Er surft gerne im Meer.,He enjoys surfing in the ocean.
e05-l2,Werbung,advertisement; advertising,Die Werbung ist sehr kreativ.,The advertisement is very creative.
e05-l2,sich über etwas informieren,to inform oneself/someone about something,Ich informiere mich über das neue Projekt.,I inform myself about the new project.
e05-l2,jemanden überzeugen,to convince someone,"Ich überzeuge ihn, mitzukommen.",I convince him to come along.
e05-l2,weitermachen,to continue; to carry on,Wir machen mit der Arbeit weiter.,We continue with the work.
e05-l2,klicken,to click,Ich klicke auf den Link.,I click on the link.
e05-l2,Kleinigkeit,small things; minor details; a bite,Das ist nur eine Kleinigkeit.,That is just a small thing.
e05-l2,wunderschön,wonderful; beautiful,Das ist ein wunderschöner Ort.,This is a beautiful place.
e05-l2,Bis später!,See you later!,Bis später! Ich muss jetzt gehen.,See you later! I have to go now.
e05-l2,segeln,to sail,Wir segeln am Wochenende.,We sail on the weekend.
e05-l2,sich auf etwas/jemanden freuen,to look forward to (seeing) someone/something,Ich freue mich auf das Wochenende.,I look forward to the weekend.
e05-l2,Hafen,harbor,Der Hafen ist sehr groß.,The harbor is very large.
e05-l2,sich erholen,recover; relax,Ich erhole mich im Urlaub.,I relax on vacation.
e05-l2,Rabatt,discount; rebate,Ich bekomme einen Rabatt auf das Buch.,I get a discount on the book.
e05-l3,Das hört sich gut an.,Sounds good!,"Das hört sich gut an, ich bin dabei!","That sounds good, I’m in!"
e05-l3,schade,too bad,"Schade, dass du nicht kommen kannst.",Too bad you can’t come.
e05-l3,Vorstellungsgespräch,introductory interview,Ich habe ein Vorstellungsgespräch.,I have an introductory interview.
e05-l3,etwas werfen,to throw (something),Ich werfe den Ball.,I throw the ball.
e05-l3,etwas aufmachen,to open something,Ich mache das Fenster auf.,I open the window.
e05-l3,enttäuscht,disappointed,Ich bin enttäuscht von dem Ergebnis.,I am disappointed with the result.
e05-l3,glücklich,happy,Ich bin glücklich mit meinem Leben.,I am happy with my life.
e05-l3,genau,exactly,Genau das wollte ich sagen.,Exactly what I wanted to say.
e05-l3,unfreundlich,unfriendly,Er war sehr unfreundlich zu mir.,He was very unfriendly to me.
e05-l3,genervt,irritated; annoyed,Ich bin genervt von dem Lärm.,I am annoyed by the noise.
e05-l3,Herzlichen Glückwunsch.,Congratulations!,Herzlichen Glückwunsch zum Geburtstag!,Congratulations on your birthday!
e05-l3,sich über jemanden/etwas ärgern,to get annoyed about or by someone/something,Ich ärgere mich über den Lärm.,I get annoyed by the noise.
e05-l3,So ein Mist!,Darn it!,So ein Mist! Ich habe den Bus verpasst.,Darn it! I missed the bus.
e05-l3,Bewerbung,application,Ich schreibe eine Bewerbung für den Job.,I write an application for the job.
e05-l3,etwas bestätigen,to confirm something,Ich bestätige den Termin.,I confirm the appointment.
e05-l3,Briefumschlag,envelope,Ich brauche einen Briefumschlag.,I need an envelope.
e05-l3,Briefmarke,stamp,Ich klebe eine Briefmarke auf den Umschlag.,I stick a stamp on the envelope.
e05-l3,aufgeregt,excited,Ich bin sehr aufgeregt vor der Prüfung.,I am very excited before the exam.
e05-l3,Briefkasten,mailbox,Ich werfe den Brief in den Briefkasten.,I put the letter in the mailbox.
e05-l3,Brief,letter,Ich bekomme einen Brief von meinem Freund.,I receive a letter from my friend.
e05-l3,Post,mail,Ich hole die Post ab.,I pick up the mail.
e05-l3,Das klappt bestimmt.,"It'll work out, for sure.","Das klappt bestimmt, keine Sorge.","It'll work out, for sure, don’t worry."
e05-l3,überrascht,surprised,Ich bin überrascht von der Nachricht.,I am surprised by the news.
e05-l3,klappen,to succeed; to work out,Es klappt alles gut.,Everything is working out well.
e05-l3,Test,test,Ich habe einen Test in der Schule.,I have a test at school.
e05-l3,Pech,bad luck; misfortune,Ich habe Pech gehabt.,I had bad luck.
e05-l3,Das schaffst du schon.,You can definitely do it!,"Das schaffst du schon, keine Sorge.","You can definitely do it, don’t worry."
e05-l3,überhaupt nicht,not at all,Ich verstehe das überhaupt nicht.,I don’t understand that at all.
e05-l3,etwas gucken,to watch (something),Ich gucke einen Film.,I watch a movie.
e05-l3,Absage,rejection,Ich habe eine Absage bekommen.,I received a rejection.
e05-l3,das nächste Mal,(the) next time,Das nächste Mal mache ich es besser.,Next time I will do it better.
e05-l3,Zusage,confirmation of acceptance,Ich habe eine Zusage bekommen.,I received a confirmation of acceptance.
e05-l3,sich (etwas) trauen,to dare to do something,"Ich traue mich nicht, zu springen.",I don’t dare to jump.
e05-l3,Gefühl,feeling,Ich habe ein komisches Gefühl.,I have a strange feeling.
e05-l4,Mieterhöhung,rent increase,Die Mieterhöhung ist unfair.,The rent increase is unfair.
e05-l4,Ladenbesitzerin,shopkeeper (female),Die Ladenbesitzerin hilft mir.,The shopkeeper helps me.
e05-l4,recht haben,to be right,"Du hast recht, das ist eine gute Idee.","You are right, that’s a good idea."
e05-l4,Viertel,quarter; neighborhood,Ich wohne in einem ruhigen Viertel.,I live in a quiet neighborhood.
e05-l4,etwas ausdrücken,to express something,Ich drücke meine Gefühle aus.,I express my feelings.
e05-l4,etwas erhöhen,to increase something; to raise something,Die Firma erhöht die Preise.,The company increases the prices.
e05-l4,etwas schließen,to close something,Ich schließe das Fenster.,I close the window.
e05-l4,Lösung,solution,Wir brauchen eine Lösung für das Problem.,We need a solution for the problem.
e05-l4,Markt,market,"Ich gehe auf den Markt, um Obst zu kaufen.",I go to the market to buy fruit.
e05-l4,Ladenbesitzer,shopkeeper (male),Der Ladenbesitzer ist sehr freundlich.,The shopkeeper is very friendly.
e05-l4,Zustimmung,consent; approval,Ich brauche Ihre Zustimmung.,I need your approval.
e05-l4,steigen,to rise,Die Preise steigen jedes Jahr.,Prices rise every year.
e05-l4,Sehr geehrte Frau ...,Dear Ms ...,"Sehr geehrte Frau Müller, vielen Dank.","Dear Ms. Müller, thank you very much."
e05-l4,sich verändern,to change,Die Situation verändert sich.,The situation changes.
e05-l4,Sehr geehrter Herr …,Dear Mr …,"Sehr geehrter Herr Schmidt, ich schreibe Ihnen...","Dear Mr. Schmidt, I am writing to you..."
e05-l4,Widerspruch,contradiction,Das ist ein Widerspruch.,That is a contradiction.
e05-l4,sich erhöhen,to increase,Die Miete erhöht sich jedes Jahr.,The rent increases every year.
e05-l4,Das meinen Sie nicht ernst.,You can't seriously mean that.,"Das meinen Sie nicht ernst, oder?","You can't seriously mean that, right?"
e05-l4,Mit freundlichen Grüßen,Best regards,"Mit freundlichen Grüßen, Anna","Best regards, Anna"
e05-l4,etwas klären,to clarify something,Ich kläre das Problem.,I clarify the problem.
e05-l4,mit jemandem diskutieren,to discuss (with someone),Wir diskutieren über das Projekt.,We discuss the project.
e05-l4,Es reicht mir.,That's enough!,"Es reicht mir, ich will nicht mehr diskutieren.","That’s enough, I don’t want to discuss anymore."
e05-l4,sich über etwas wundern,to wonder; to be surprised about something,Ich wundere mich über die Nachricht.,I am surprised by the news.
e05-l4,Das sehe ich auch so.,I agree.,"Das sehe ich auch so, das ist eine gute Idee.","I agree, that’s a good idea."
e05-l4,Entscheidung,decision,Das ist eine wichtige Entscheidung.,This is an important decision.
e05-l4,Ich bin anderer Meinung.,I'm of another opinion.,"Ich bin anderer Meinung, das ist falsch.","I have a different opinion, that’s wrong."
e05-l4,Das sehe ich nicht so.,I don't see it that way.,"Das sehe ich nicht so, ich bin anderer Meinung.","I don’t see it that way, I have a different opinion."
e06-l1,Roman,novel,Ich lese einen Roman.,I am reading a novel.
e06-l1,jemandem Spaß machen,is fun; to enjoy,Das macht mir Spaß.,That is fun for me.
e06-l1,jemandem etwas hoch und heilig versprechen,to make a solemn promise,"Ich verspreche dir hoch und heilig, dass ich komme.",I solemnly promise you that I will come.
e06-l1,Ding,thing,Das ist ein komisches Ding.,That is a strange thing.
e06-l1,Vertrauen,trust,Ich habe Vertrauen in dich.,I trust you.
e06-l1,Geheimnis,secret,Das ist ein großes Geheimnis.,That is a big secret.
e06-l1,jemandem etwas beibringen,to teach somebody something,Ich bringe dir Deutsch bei.,I teach you German.
e06-l1,Zeitschrift,magazine,Ich lese eine Zeitschrift.,I am reading a magazine.
e06-l1,jemandem wehtun,to hurt someone,Ich will dir nicht wehtun.,I don’t want to hurt you.
e06-l1,jemandem vertrauen,to trust someone,Ich vertraue meinem Freund.,I trust my friend.
e06-l1,jemandem etwas versprechen,to promise (someone) something,"Ich verspreche dir, pünktlich zu sein.",I promise you to be on time.
e06-l1,Krimi,detective story,Ich lese gerne Krimis.,I enjoy reading detective stories.
e06-l1,jemandem fremdgehen,to cheat on (someone),Er ist seiner Freundin fremdgegangen.,He cheated on his girlfriend.
e06-l1,lügen,to lie,Er lügt oft.,He often lies.
e06-l1,Biografie,biography,Ich lese eine Biografie über Goethe.,I am reading a biography about Goethe.
e06-l1,Literatur,literature,Ich studiere Literatur.,I study literature.
e06-l1,sich mit etwas beschäftigen,busy oneself with something,Ich beschäftige mich mit Kunst.,I busy myself with art.
e06-l1,"letzter, letzte, letztes",last,Das ist der letzte Tag des Urlaubs.,This is the last day of the vacation.
e06-l1,Wofür interessierst du dich?,What are your interests?,Wofür interessierst du dich?,What are your interests?
e06-l2,Volkstanz,folk dance; square dance,Wir tanzen Volkstanz.,We dance folk dance.
e06-l2,Rote Kreuz,the Red Cross,Das Rote Kreuz hilft den Menschen.,The Red Cross helps people.
e06-l2,furchtbar,awful,Das Essen war furchtbar.,The food was awful.
e06-l2,Interesse,interest,Ich habe Interesse an Kunst.,I have an interest in art.
e06-l2,Verein,club; organization,Ich bin Mitglied im Fußballverein.,I am a member of the football club.
e06-l2,Schachclub,chess club,Ich spiele im Schachclub.,I play in the chess club.
e06-l2,Feuerwehr,fire department,Die Feuerwehr löscht das Feuer.,The fire department puts out the fire.
e06-l2,Pferd,horse,Ich reite ein Pferd.,I ride a horse.
e06-l2,niemand,no one,Niemand war da.,No one was there.
e06-l2,Chance,chance,Das ist eine gute Chance für mich.,This is a good chance for me.
e06-l2,turnen,to do gymnastics,Die Kinder turnen in der Schule.,The children do gymnastics at school.
e06-l2,verrückt nach etwas sein,to be crazy about something; to be obsessed with something,Ich bin verrückt nach Schokolade.,I am crazy about chocolate.
e06-l2,Mitglied,member,Ich bin Mitglied im Sportverein.,I am a member of the sports club.
e06-l2,reiten,to ride (a horse),Sie reitet jeden Tag.,She rides every day.
e06-l2,wenige,few; a few,Es gibt wenige Leute hier.,There are few people here.
e06-l2,Turnverein,gymnastics or tumbling club,Ich bin im Turnverein.,I am in the gymnastics club.
e06-l2,fangen,to catch,Ich fange einen Fisch.,I catch a fish.
e06-l2,fantasievoll,imaginative; fanciful,Das ist eine fantasievolle Geschichte.,That is an imaginative story.
e06-l2,Aktivität,activity,Wir haben viele Aktivitäten im Verein.,We have many activities in the club.
e06-l2,Tier,animal,Ich liebe Tiere.,I love animals.
e06-l2,Tierschutzverein,animal protection organization,Ich arbeite im Tierschutzverein.,I work in the animal protection organization.
e06-l2,sich an jemanden/etwas erinnern,to remember someone/something,Ich erinnere mich an den Tag.,I remember the day.
e06-l2,etwas gründen,to found something,Wir gründen einen neuen Verein.,We found a new club.
e06-l2,Zeit verbringen,to spend time,Ich verbringe Zeit mit meiner Familie.,I spend time with my family.
e06-l2,wenigstens,at least,Ich habe wenigstens eine Stunde Zeit.,I have at least one hour of time.
e06-l3,auf jemanden wütend sein,to be mad at someone,Ich bin wütend auf dich.,I am mad at you.
e06-l3,Mitgliedschaft,membership; fellowship,Ich habe eine Mitgliedschaft im Fitnessstudio.,I have a membership at the gym.
e06-l3,Fehler,mistake; error,Das war ein großer Fehler.,That was a big mistake.
e06-l3,Selbstständige,self-employed person (female),Sie ist Selbstständige.,She is self-employed.
e06-l3,Selbstständiger,self-employed person (male),Er ist Selbstständiger.,He is self-employed.
e06-l3,finanziell,financial,Ich habe finanzielle Probleme.,I have financial problems.
e06-l3,weitergehen,to continue; to go on,Wir gehen weiter.,We continue.
e06-l3,sich etwas überlegen,to think (about something),"Ich überlege mir, was ich tun soll.",I think about what I should do.
e06-l3,sich etwas vorstellen,to imagine something,"Ich stelle mir vor, wie es sein wird.",I imagine how it will be.
e06-l3,sich etwas leisten können,to be able to afford something,Ich kann mir kein Auto leisten.,I can’t afford a car.
e06-l3,etwas vorhaben,to plan something; to intend,Ich habe viel vor.,I have a lot planned.
e06-l3,Respekt,respect,Ich habe Respekt vor dir.,I have respect for you.
e06-l3,sich etwas denken,to imagine something; to conceptualize something,Ich denke mir eine Geschichte aus.,I imagine a story.
e06-l3,jemanden beruhigen,to calm someone,Ich beruhige das Kind.,I calm the child.
e06-l3,sich (um jemanden/etwas) Sorgen machen,to worry (about someone/something),Ich mache mir Sorgen um dich.,I worry about you.
e06-l3,schwere Zeit,a hard time,Wir haben eine schwere Zeit durchgemacht.,We went through a hard time.
e06-l3,jemanden umarmen,to hug someone; to embrace someone (formal),Ich umarme meine Mutter.,I hug my mother.
e06-l3,jemanden küssen,to kiss someone,Ich küsse meine Freundin.,I kiss my girlfriend.
e06-l3,jemanden drücken,to hug someone,Ich drücke meinen Freund.,I hug my friend.
e06-l3,sich bei jemandem melden,to contact someone; to reach out to someone,Ich melde mich bei dir.,I will contact you.
e06-l4,Einrichtung,institution,Die Einrichtung hilft den Menschen.,The institution helps people.
e06-l4,arbeitslos,unemployed; out of work,Er ist seit einem Monat arbeitslos.,He has been unemployed for a month.
e06-l4,Kaffeemaschine,coffeemaker,Die Kaffeemaschine ist kaputt.,The coffeemaker is broken.
e06-l4,Naturschutz,nature conservation,Ich engagiere mich im Naturschutz.,I am involved in nature conservation.
e06-l4,alle zwei Wochen,every two weeks,Wir treffen uns alle zwei Wochen.,We meet every two weeks.
e06-l4,jemandem gratulieren,to congratulate someone,Ich gratuliere dir zum Geburtstag.,I congratulate you on your birthday.
e06-l4,Engagement,engagement; involvement; commitment,Ich zeige Engagement in der Arbeit.,I show commitment in my work.
e06-l4,Ehrenamt,volunteer position,Ich habe ein Ehrenamt im Verein.,I have a volunteer position in the club.
e06-l4,Das ist mir egal.,I don't care.,"Das ist mir egal, was du denkst.",I don’t care what you think.
e06-l4,jemandem/etwas schaden,to harm; to hurt; to damage someone/something,Das schadet der Umwelt.,That harms the environment.
e06-l4,sozial,social,Ich arbeite in einem sozialen Beruf.,I work in a social profession.
e06-l4,weiter,further (implies continuation),Wir gehen weiter.,We continue.
e06-l4,etwas übernehmen,to take; to take on something; to take over something,Ich übernehme die Verantwortung.,I take on the responsibility.
e06-l4,Vergiss es!,Forget it.,"Vergiss es, das klappt nicht.","Forget it, that won’t work."
e06-l4,witzig,funny,Das war ein witziger Witz.,That was a funny joke.
e06-l4,Umwelt,environment,Wir müssen die Umwelt schützen.,We must protect the environment.
e07-l1,defekt,faulty; broken,Mein Fahrradlicht ist defekt.,My bike light is faulty.
e07-l1,jemanden erreichen,to reach someone; to get in touch with someone,Wie kann ich dich erreichen?,How can I reach you?
e07-l1,überall,everywhere; all over,Ich suche überall nach meinem Schlüssel.,I am looking for my key everywhere.
e07-l1,das soziale Netzwerk,social network,Ich bin aktiv in sozialen Netzwerken.,I am active on social networks.
e07-l1,(jemandem etwas) mailen,to send an email (to someone),Kannst du mir die Informationen mailen?,Can you email me the information?
e07-l1,der Kopfhörer,headphones,Ich brauche neue Kopfhörer.,I need new headphones.
e07-l1,das Tablet,tablet computer,Ich lese ein Buch auf meinem Tablet.,I read a book on my tablet.
e07-l1,offline,offline,Ich bin heute offline.,I am offline today.
e07-l1,etwas herunterladen,to download something,Kannst du die Datei herunterladen?,Can you download the file?
e07-l1,skypen,to skype,Wir können später skypen.,We can skype later.
e07-l1,der Reifen,tire,Ich muss den Reifen wechseln.,I have to change the tire.
e07-l1,das Smartphone,smartphone,Ich habe ein neues Smartphone.,I have a new smartphone.
e07-l1,die App,app,Ich habe eine neue App auf meinem Smartphone.,I have a new app on my smartphone.
e07-l1,die Freiheit,freedom,Es gibt doch nichts Schöneres als Radfahren. Pure Freiheit!,There is nothing better than cycling. Pure freedom!
e07-l1,die Kamera,camera,Meine Kamera macht gute Fotos.,My camera takes good photos.
e07-l1,die Leidenschaft,passion,Pure Leidenschaft!,Pure passion!
e07-l1,die Werbeagentur,advertising agency,Wir brauchen eine gute Werbeagentur.,We need a good advertising agency.
e07-l1,die Zeitung,newspaper,Ich lese die Nachrichten in der Zeitung.,I read the news in the newspaper.
e07-l1,online,online,Ich bin den ganzen Tag online.,I am online all day.
e07-l1,platt,flat; drained; dull,Mein Reifen ist platt.,My tire is flat.
e07-l1,etwas liken,to like (only on social media),Ich habe dein Foto gelikt.,I liked your photo.
e07-l1,etwas googeln,to google someone/something,Ich werde das mal googeln.,I will google that.
e07-l1,etwas teilen,to share,Ich teile meine Fotos mit meinen Freunden.,I share my photos with my friends.
e07-l1,etwas downloaden,to download something,Ich muss die Datei downloaden.,I need to download the file.
e07-l1,etwas nutzen,to use something,Ich nutze das Internet jeden Tag.,I use the internet every day.
e07-l1,etwas posten,to post something,Ich poste ein Foto auf Instagram.,I'm posting a photo on Instagram.
e07-l2,ob,if; whether,"Ich möchte wissen, ob du mir hilfst."," ""I want to know if you will help me."""
e07-l2,erreichbar,reachable; accessible,Das Internet ist überall erreichbar.," ""The internet is reachable everywhere."""
e07-l2,die Internetseite,internet site; website,Deine Firma erstellt doch Internetseiten.," ""Your company creates websites."""
e07-l2,weltweit,worldwide,Das Internet verbindet Menschen weltweit.," ""The internet connects people worldwide."""
e07-l2,der Laptop,laptop,Sie arbeiten mit dem Laptop im Cafe.," ""They are working with the laptop at the cafe."""
e07-l2,digital,digital,Wir designen digitale Lösungen.," ""We design digital solutions."""
e07-l2,lange brauchen,to need a long time,"Ich brauche lange, um eine Webseite zu erstellen."," ""I need a long time to create a website."""
e07-l2,das WLAN,Wi-Fi; wireless network,Gibt es hier WLAN?," ""Is there Wi-Fi here?"""
e07-l2,etwas erstellen,to create something; to build something,Deine Firma erstellt doch Internetseiten.," ""Your company creates websites."""
e07-l2,auf der ganzen Welt,in the entire world,Das Internet ist auf der ganzen Welt erreichbar.," ""The internet is reachable in the entire world."""
e07-l2,die Webseite,website,"Ich habe dich gefragt, ob du eine Webseite für mich machen kannst."," ""I asked you if you can make a website for me."""
e07-l2,etwas designen,to design something,Wir designen digitale Lösungen.," ""We design digital solutions."""
e07-l2,aktiv,active,Du musst in den sozialen Netzwerken aktiv sein.," ""You have to be active on social networks."""
e07-l2,(mit jemandem) kommunizieren,to communicate with someone,"Es ist einfach, mit Freunden über das Internet zu kommunizieren."," ""It's easy to communicate with friends via the internet."""
e07-l2,die Suchmaschine,search engine,"Ich benutze eine Suchmaschine, um Informationen zu finden."," ""I use a search engine to find information."""
e07-l2,die Möglichkeit,possibility,"Sie müssen die Möglichkeit haben, zu posten."," ""They must have the possibility to post."""
e07-l2,sich lohnen,to be worthwhile,Das lohnt sich nicht.," ""That's not worthwhile."""
e07-l2,der Blog,blog,"Wir designen digitale Lösungen: Marketingkonzepte, Blogs…","We design digital solutions: marketing concepts, blogs..."
e07-l2,die Internetverbindung,internet connection,Ich brauche eine gute Internetverbindung für die Arbeit.," ""I need a good internet connection for work."""
e07-l3,etwas empfangen,to receive something,Hast du meine Nachricht empfangen?,Did you receive my message?
e07-l3,etwas versenden,to send something,Sie versendet das Paket morgen.,She will send the package tomorrow.
e07-l3,rund,around; approximately,Die Party beginnt rund um 20 Uhr.,The party starts around 8 pm.
e07-l3,der Teenager,teenager,Die Teenager hören laute Musik.,The teenagers are listening to loud music.
e07-l3,elfjährig,eleven year,Er ist ein elfjähriger Junge.,He is an eleven-year-old boy.
e07-l3,das PS,P.S.,PS: Ich habe die Schlüssel gefunden.,P.S.: I found the keys.
e07-l3,die Nachricht,message,Ich habe eine Nachricht bekommen.,I received a message.
e07-l3,etwas aufladen,to charge something,Ich muss mein Handy aufladen.,I need to charge my phone.
e07-l3,der Akku,battery,Mein Akku ist fast leer.,My battery is almost empty.
e07-l3,Liebe Grüße,kind regards,Liebe Grüße von Anna!,Kind regards from Anna!
e07-l3,die Umfrage,survey,Wir machen eine Umfrage zum Thema Medien.,We're doing a survey on the topic of media.
e07-l3,die Weckfunktion,alarm app,Ich benutze die Weckfunktion jeden Morgen.,I use the alarm app every morning.
e07-l3,der Jugendliche,youth (male),Der Jugendliche spielt Fußball.,The young man is playing football.
e07-l3,das Ladegerät,charger; battery charger,Wo ist mein Ladegerät?,Where is my charger?
e07-l3,das Video,video,Wir haben ein lustiges Video gesehen.,We watched a funny video.
e07-l3,etwas verschicken,to send something,Ich werde die E-Mail gleich verschicken.,I will send the email soon.
e07-l3,die Jugendliche,youth (female),Die Jugendliche liest ein Buch.,The young woman is reading a book.
e07-l4,beschäftigt,busy; occupied,Ich war beschäftigt.,I was busy.
e07-l4,unübersichtlich,unclear,Die Website ist viel zu unübersichtlich.,The website is much too unclear.
e07-l4,die Frisur,hairstyle; haircut,Deine Frisur gefällt mir.,I like your hairstyle.
e07-l4,die Technikerin,technician (female),Die Technikerin hat das Problem gelöst.,The technician solved the problem.
e07-l4,die Reparatur,repair; repare work,Die Reparatur meines Autos ist teuer.,The repair of my car is expensive.
e07-l4,die Reklamation,complaint,Ich habe eine Reklamation zu meinem Kauf.,I have a complaint about my purchase.
e07-l4,unzufrieden,dissatisfied; unhappy,Ich bin sehr unzufrieden mit dem Service.,I am very dissatisfied with the service.
e07-l4,die Garantie,warranty,Ich habe noch eine Garantie für mein Tablet.,I still have a warranty for my tablet.
e07-l4,ein Problem lösen,solve a problem,Wir müssen dieses Problem schnell lösen.,We have to solve this problem quickly.
e07-l4,das Notebook,notebook computer; laptop,Ich arbeite viel mit meinem Notebook.,I work a lot with my laptop.
e07-l4,der Monitor,screen; monitor,Der Monitor ist zu klein.,The screen is too small.
e07-l4,der Haarschnitt,hair cut,Dein Haarschnitt ist sehr modern.,Your haircut is very modern.
e07-l4,etwas reparieren,to repair something,Kannst du das Handy reparieren?,Can you repair the phone?
e07-l4,etwas umtauschen,to exchange something,Ich möchte das Hemd umtauschen.,I would like to exchange the shirt.
e07-l4,etwas neu starten,to start something new,Du musst das Programm neu starten.,You need to restart the program.
e07-l4,der Techniker,technician (male),Der Techniker kommt morgen.,The technician is coming tomorrow.
e07-l4,der Kundenservice,customer service,Der Kundenservice hat mir sehr geholfen.,The customer service helped me a lot.
e07-l4,der Wunsch,wish,Ich habe einen großen Wunsch.,I have a big wish.
e07-l4,etwas reklamieren,to complain,Ich möchte das Produkt reklamieren.,I would like to complain about the product.
e07-l4,der iPod,iPod,Ich höre Musik mit meinem iPod.,I listen to music with my iPod.
e07-l4,sich beschweren,to complain,Ich möchte mich beschweren.,I want to complain.
e07-l4,zufrieden,satisfied; happy,Ich bin sehr zufrieden mit dem Ergebnis.,I am very happy with the result.
e08-l1,der Feinschmecker,gourmet; epicure (male),Er ist ein echter Feinschmecker.,He is a real gourmet.
e08-l1,die Mensa,canteen; refectory,In der Mensa gibt es heute Nudeln.,In the canteen there are noodles today.
e08-l1,die Mahlzeit,meal; meal break,"Eine gute Mahlzeit ist eine Mahlzeit, die man mit anderen netten Menschen an einem Tisch isst.",A good meal is a meal that you eat with other nice people at a table.
e08-l1,die Linse,lentil,Linsensuppe ist sehr gesund.,Lentil soup is very healthy.
e08-l1,der Feierabend,closing time; finishing work,Nach dem Feierabend gehen wir in die Kneipe.,"After work, we go to the pub."
e08-l1,das belegte Brot,(open-faced) sandwich,Zum Mittag gibt es ein belegtes Brot.,For lunch there is an open-faced sandwich.
e08-l1,der Curry,curry,Das Curry schmeckt sehr gut.,The curry tastes very good.
e08-l1,das Baguette,baguette,Ich esse gern ein Baguette zum Frühstück.,I like to eat a baguette for breakfast.
e08-l1,das Dressing,salad dressing,Das Dressing ist ein bisschen scharf.,The dressing is a bit spicy.
e08-l1,das Eisen,iron,Eisen ist wichtig für den Körper.,Iron is important for the body.
e08-l1,das Besteck,cutlery,Das Besteck liegt auf dem Tisch.,The cutlery is on the table.
e08-l1,den Tisch decken,set the table,Kannst du bitte den Tisch decken?,Can you please set the table?
e08-l1,das Messer,knife,Ich brauche ein Messer zum Schneiden.,I need a knife for cutting.
e08-l1,der Löffel,spoon,Gib mir bitte einen Löffel für die Suppe.,Please give me a spoon for the soup.
e08-l1,die Bohne,bean,Sie mag Bohnen im Salat.,She likes beans in the salad.
e08-l1,der Schnellimbiss,fast food restaurant,Wir gehen zum Schnellimbiss.,We go to the fast food restaurant.
e08-l1,das Schälchen,small bowl; small dish,Das Schälchen ist mit Oliven gefüllt.,The small bowl is filled with olives.
e08-l1,der Snack,snack,Ich habe einen kleinen Snack gegessen.,I ate a small snack.
e08-l1,der Spinat,spinach,Spinat ist sehr gesund.,Spinach is very healthy.
e08-l1,der Thymian,thyme,Der Thymian gibt dem Gericht eine besondere Note.,The thyme gives the dish a special touch.
e08-l1,die Gabel,fork,Ich brauche eine Gabel für den Salat.,I need a fork for the salad.
e08-l1,die Frucht,fruit,Sie isst jeden Tag eine Frucht.,She eats a fruit every day.
e08-l1,die Feinschmeckerin,gourmet; epicure (female),Sie ist eine Feinschmeckerin und liebt gutes Essen.,She is a gourmet and loves good food.
e08-l1,die Erdbeere,strawberry,Die Erdbeeren sind jetzt reif.,The strawberries are ripe now.
e08-l1,die Brotzeit,light meal; snack,Wir machen eine Brotzeit auf der Wanderung.,We take a snack break on the hike.
e08-l1,die Beere,berry,Die Beeren im Wald sind sehr lecker.,The berries in the forest are very delicious.
e08-l1,die Kneipe,bar; pub,Wir treffen uns in der Kneipe um die Ecke.,We meet in the pub around the corner.
e08-l1,die Tradition,tradition,Das ist eine alte Tradition.,That is an old tradition.
e08-l1,der Betrieb,business; company,Er arbeitet in einem großen Betrieb.,He works in a large company.
